x,y,z,yaw,velocity,kappa,dkappa,s
22.9154,-1.2595,0,3.08765,0,0.0049123,0.00842003,0
22.5978,-1.24312,0,3.09162,-0.218002,0.00759003,0.0118659,0.31802
22.2453,-1.22599,0,3.09515,-0.404904,0.0128738,0.0176836,0.670955
21.8835,-1.20992,0,3.10083,-0.55985,0.0202355,0.0147331,1.03312
21.5499,-1.19763,0,3.10924,-0.686382,0.0231271,-0.00498219,1.36689
21.1987,-1.18776,0,3.11667,-0.787796,0.016822,-0.0184551,1.71825
20.838,-1.17988,0,3.12122,-0.867142,0.00998487,-0.00918169,2.07901
20.468,-1.17287,0,3.12397,-0.927238,0.0101119,0.00749918,2.44907
20.1009,-1.16689,0,3.12867,-0.970676,0.0155136,0.00850918,2.81626
19.7135,-1.16312,0,3.13568,-0.999832,0.0165334,-0.00386936,3.20372
19.303,-1.16217,0,-3.14132,-1.016868,0.0124263,-0.0057949,3.61416
18.8931,-1.16334,0,-3.13731,-1.02375,0.0117792,0.009884,4.02412
18.5124,-1.16556,0,-3.13201,-1.013954,0.0202414,0.0284216,4.40483
18.126,-1.17069,0,-3.12178,-1.000274,0.0335817,0.0406778,4.79122
17.7266,-1.18112,0,-3.10562,-0.982454,0.0522107,0.0591991,5.19075
17.3464,-1.19875,0,-3.08105,-0.961576,0.0797656,0.0727458,5.57137
16.9881,-1.22589,0,-3.04659,-0.938576,0.10604,0.0635943,5.93071
16.6305,-1.26697,0,-3.00477,-0.914242,0.125509,0.0518804,6.29067
16.2799,-1.32339,0,-2.95684,-0.88923,0.143135,0.0437735,6.64573
15.9359,-1.39677,0,-2.90359,-0.864068,0.156449,0.0345149,6.9975
15.599,-1.48858,0,-2.84717,-0.839166,0.167328,0.0223632,7.34668
15.2782,-1.59621,0,-2.78853,-0.814824,0.171825,0.00666987,7.68503
14.9618,-1.72341,0,-2.73041,-0.791244,0.17186,0.00181657,8.0261
14.6574,-1.8669,0,-2.67207,-0.768528,0.173056,-0.00565057,8.36257
14.3627,-2.02733,0,-2.6141,-0.7467,0.168063,-0.000611603,8.69809
14.0736,-2.20703,0,-2.55845,-0.7257,0.172642,0.00817228,9.03857
13.8103,-2.39176,0,-2.49978,-0.705408,0.173474,0.00266452,9.36016
13.5395,-2.60613,0,-2.44273,-0.685636,0.174419,-0.00717666,9.70551
13.2905,-2.82853,0,-2.3813,-0.666148,0.168599,-0.00413891,10.0394
13.0368,-3.08428,0,-2.32569,-0.646662,0.171546,0.0193417,10.3997
12.8302,-3.31785,0,-2.26598,-0.626864,0.181599,-0.0120506,10.7115
12.6302,-3.57169,0,-2.21037,-0.60641,0.163895,-0.0296641,11.0346
12.4357,-3.84822,0,-2.15759,-0.584938,0.161983,-0.0102733,11.3727
12.2636,-4.12308,0,-2.10306,-0.562076,0.15709,-0.01738,11.697
12.0955,-4.4258,0,-2.05224,-0.537448,0.150329,0.0112548,12.0433
11.9489,-4.72546,0,-2.00084,-0.510686,0.164742,0.0416621,12.3769
11.8279,-5.00919,0,-1.94645,-0.481434,0.177078,0.00115835,12.6853
11.7197,-5.30646,0,-1.89019,-0.449358,0.165465,-0.0390773,13.0017
11.6174,-5.6458,0,-1.83545,-0.41416,0.150865,-0.0270556,13.3561
11.5313,-6.00194,0,-1.78143,-0.375578,0.145962,-0.00521516,13.7225
11.4672,-6.34846,0,-1.73052,-0.333392,0.147117,-0.0282854,14.0749
11.4251,-6.66107,0,-1.68317,-0.287446,0.127072,-0.0783897,14.3903
11.3938,-6.99825,0,-1.6474,-0.237642,0.0958458,-0.0723925,14.729
11.3738,-7.32969,0,-1.61889,-0.1839584,0.0785208,-0.0590642,15.061
11.3629,-7.63974,0,-1.59697,-0.1264504,0.0579092,-0.0789144,15.3712
11.3576,-7.94703,0,-1.58312,-0.0652638,0.0297857,-0.0679591,15.6786
11.3552,-8.2684,0,-1.57824,0,0.0151825,-0.0454388,16
