x,y,z,yaw,velocity,change_flag
31.9263,-10.2249,0.3581,-1.7113,0,0
31.8609,-10.5297,0.3493,-1.7244,0.379888889,0
31.8005,-10.8914,0.3524,-1.7411,0.822305556,0
31.7298,-11.233,0.3541,-1.7542,0.954055556,0
31.6687,-11.6308,0.3521,-1.7643,1.10425,0
31.6012,-11.9807,0.3454,-1.7675,1.325444444,0
31.5059,-12.359,0.368,-1.7698,1.335472222,0
31.4248,-12.7796,0.3777,-1.7712,1.520527778,0
31.3461,-13.075,0.3637,-1.7709,1.492722222,0
31.2646,-13.4175,0.3471,-1.7709,1.790944444,0
31.1768,-13.7551,0.3697,-1.7687,1.827694444,0
31.1115,-14.1167,0.3635,-1.7659,1.880638889,0
31.0365,-14.4911,0.3671,-1.7626,1.931194444,0
30.9321,-14.8921,0.3559,-1.7581,2.265222222,0
30.844,-15.31,0.3392,-1.7541,2.169694444,0
30.7402,-15.7759,0.3427,-1.7498,2.297444444,0
30.6464,-16.2767,0.3409,-1.7446,2.616138889,0
30.5364,-16.7839,0.3281,-1.74,2.708277778,0
30.4479,-17.3047,0.3071,-1.7351,2.726055556,0
30.3924,-17.6035,0.3091,-1.7324,3.038555556,0
30.2993,-18.1638,0.3148,-1.7272,2.855888889,0
30.2015,-18.7484,0.3097,-1.7221,2.95075,0
30.1347,-19.0464,0.3059,-1.7181,3.054694444,0
30.0903,-19.352,0.3261,-1.714,3.097333333,0
30.0451,-19.6524,0.3126,-1.7101,3.080888889,0
29.9986,-19.9519,0.3087,-1.7054,3.033416667,0
29.9571,-20.29,0.3048,-1.7001,3.40825,0
29.9145,-20.6332,0.2895,-1.695,3.4645,0
29.8804,-20.9549,0.2891,-1.6897,3.232583333,0
29.8239,-21.2874,0.2853,-1.6835,3.377472222,0
29.7507,-21.6453,0.2877,-1.6771,3.609222222,0
29.7235,-21.9847,0.3176,-1.6714,3.417166667,0
29.6711,-22.3482,0.3168,-1.6648,3.675944444,0
29.6259,-22.7175,0.303,-1.6583,3.724555556,0
29.5935,-23.061,0.3138,-1.6523,3.497333333,0
29.5578,-23.4072,0.3026,-1.6461,3.487583333,0
29.5164,-23.7711,0.308,-1.6398,3.664222222,0
29.4901,-24.1398,0.3186,-1.6341,3.699388889,0
29.4431,-24.4702,0.2912,-1.6299,3.350916667,0
29.4072,-24.8251,0.2851,-1.6256,3.568861111,0
29.378,-25.1971,0.3026,-1.6229,3.688027778,0
29.3442,-25.5803,0.3034,-1.6213,3.848305556,0
29.3265,-25.9582,0.2932,-1.621,3.788472222,0
29.2867,-26.3005,0.3126,-1.6223,3.452555556,0
29.2667,-26.6387,0.3116,-1.6242,3.428222222,0
29.2391,-27.0045,0.3059,-1.6271,3.674333333,0
29.2157,-27.3596,0.3426,-1.6294,3.578,0
29.1968,-27.7208,0.2997,-1.6315,3.648111111,0
29.1844,-28.0717,0.3228,-1.6338,3.520027778,0
29.1561,-28.4199,0.3288,-1.6359,3.496111111,0
29.1193,-28.7514,0.3281,-1.6381,3.28775,0
29.1003,-29.0892,0.3246,-1.6395,3.389361111,0
29.0592,-29.4254,0.3056,-1.6389,3.396361111,0
29.0263,-29.7756,0.3074,-1.6385,3.515222222,0
29.0098,-30.1178,0.3288,-1.6389,3.484305556,0
28.9925,-30.427,0.3205,-1.6384,3.099111111,0
28.9452,-30.7509,0.3384,-1.6379,3.279861111,0
28.8968,-31.0818,0.3279,-1.6372,3.346416667,0
28.8518,-31.4137,0.3336,-1.6369,3.308611111,0
28.8204,-31.7613,0.3375,-1.6362,3.490722222,0
28.7867,-32.1,0.3063,-1.6362,3.421638889,0
28.7539,-32.4211,0.288,-1.6366,3.232694444,0
28.7375,-32.7317,0.3174,-1.6363,3.124694444,0
28.6949,-33.0465,0.3337,-1.6357,3.185472222,0
28.6686,-33.3804,0.3354,-1.6358,3.383111111,0
28.6455,-33.7145,0.3003,-1.6358,3.379944444,0
28.6193,-34.04,0.3072,-1.6354,3.268944444,0
28.5875,-34.3467,0.3234,-1.6355,3.087277778,0
28.5524,-34.6628,0.3411,-1.6354,3.146027778,0
28.5105,-34.9922,0.3322,-1.6351,3.324138889,0
28.4778,-35.3367,0.311,-1.6349,3.467833333,0
28.4518,-35.6791,0.3239,-1.6344,3.439805556,0
28.4162,-36.0057,0.2965,-1.634,3.2975,0
28.3681,-36.6097,0.286,-1.634,3.197833333,0
28.3269,-36.9232,0.279,-1.6341,3.16675,0
28.3065,-37.2428,0.2947,-1.6344,3.206527778,0
28.2853,-37.5687,0.3054,-1.6339,3.268277778,0
28.2591,-37.8845,0.2936,-1.6334,3.130805556,0
28.2198,-38.1895,0.2868,-1.6322,3.077194444,0
28.1667,-38.7811,0.3057,-1.6322,2.930972222,0
28.1246,-39.3733,0.2735,-1.6318,2.995444444,0
28.0699,-39.9582,0.2775,-1.6308,3.103083333,0
28.0116,-40.4964,0.2808,-1.6305,2.686361111,0
27.9691,-41.052,0.2874,-1.6313,2.703305556,0
27.9156,-41.6059,0.306,-1.6304,2.811916667,0
27.867,-42.1447,0.2877,-1.6291,2.672916667,0
27.812,-42.6705,0.2747,-1.6301,2.543833333,0
27.7755,-43.1921,0.2727,-1.6309,2.590833333,0
27.7439,-43.733,0.3034,-1.6322,2.652138889,0
27.6712,-44.2347,0.2863,-1.6338,2.426916667,0
27.6293,-44.7279,0.2746,-1.6361,2.519861111,0
27.5915,-45.2277,0.2629,-1.6376,2.467,0
27.5461,-45.7736,0.2439,-1.6389,2.859805556,0
27.4977,-46.2654,0.2455,-1.6406,2.53175,0
27.448,-46.7501,0.2738,-1.6428,2.380694444,0
27.397,-47.2573,0.2579,-1.6458,2.501527778,0
27.3246,-47.7902,0.2566,-1.6489,2.749444444,0
27.2794,-48.3015,0.2469,-1.6526,2.641194444,0
27.217,-48.8216,0.2795,-1.6563,2.502972222,0
27.1651,-49.34,0.2813,-1.6586,2.573194444,0
27.1064,-49.8158,0.3171,-1.6605,2.282666667,0
27.0601,-50.2783,0.3001,-1.6603,2.30225,0
27.0256,-50.7299,0.2995,-1.6609,2.277805556,0
26.9603,-51.201,0.3016,-1.6616,2.257777778,0
26.9002,-51.6372,0.3224,-1.6599,2.205166667,0
26.8391,-52.0585,0.3124,-1.6587,2.037472222,0
26.8272,-52.4371,0.3146,-1.6562,1.951805556,0
26.7799,-52.8491,0.2945,-1.6533,2.075833333,0
26.7499,-53.2455,0.3013,-1.6493,1.953527778,0
26.6979,-53.6588,0.2675,-1.6463,2.179777778,0
26.6616,-54.06,0.3031,-1.6446,2.011583333,0
26.6008,-54.4482,0.2796,-1.6453,2.002555556,0
26.5615,-54.8517,0.2929,-1.6466,1.995527778,0
26.5166,-55.2651,0.2825,-1.6471,2.090194444,0
26.4782,-55.6993,0.2665,-1.6469,2.323833333,0
26.4344,-56.117,0.2957,-1.6481,2.107861111,0
26.3844,-56.546,0.2821,-1.6495,2.239444444,0
26.3421,-56.9846,0.2802,-1.6491,2.28575,0
26.2992,-57.4567,0.2915,-1.6472,2.386527778,0
26.251,-57.9002,0.289,-1.6442,2.162555556,0
26.2181,-58.316,0.2871,-1.6425,2.074888889,0
26.172,-58.7336,0.2797,-1.6395,2.172833333,0
